EARNINGS ANALYSIS: CRM
Last Reported: $3.25 (2025-10-31) | Next Est: $3.01 (Due: 2026-04-30)
Forward Delta: -0.24
Stability (CV): 0.27
=================================================================
RECENT PERFORMANCE (Last 4 Quarters)
Date        Reported    Estimated      Delta  Surp %
----------  ----------  -----------  -------  --------
2025-10-31  $3.25       $2.86           0.39  13.6%
2025-07-31  $1.96       $1.81           0.15  8.3%
2025-04-30  $2.58       $2.55           0.03  1.2%
2025-01-31  $2.78       $2.61           0.17  6.5%
-----------------------------------------------------------------

UPCOMING ESTIMATES
Fiscal Date    Horizon                    Consensus
-------------  -------------------------  -----------
2027-01-31     next fiscal year           $13.12
2026-04-30     next fiscal quarter        $3.01
2026-01-31     historical fiscal year     $11.77
2025-10-31     historical fiscal quarter  $2.86
2025-07-31     historical fiscal quarter  $2.78

LONG-TERM CONTEXT (5 Years)
Fiscal Year End    Reported EPS    Change
-----------------  --------------  --------------
2026-01-31         $7.79           -
2025-01-31         $10.19          +2.40 (+30.8%)
2024-01-31         $8.21           -1.98 (-19.4%)
2023-01-31         $5.25           -2.96 (-36.1%)
2022-01-31         $4.80           -0.45 (-8.6%)
