EARNINGS ANALYSIS: QCOM
Last Reported: $3.50 (2025-12-31) | Next Est: $2.49 (Due: 2026-06-30)
Forward Delta: -1.01
Stability (CV): 0.35
=================================================================
RECENT PERFORMANCE (Last 4 Quarters)
Date        Reported    Estimated      Delta  Surp %
----------  ----------  -----------  -------  --------
2025-12-31  $3.50       $3.40           0.1   2.9%
2025-09-30  $3.00       $2.87           0.13  4.5%
2025-06-30  $2.77       $2.71           0.06  2.2%
2025-03-31  $2.85       $2.82           0.03  1.1%
-----------------------------------------------------------------

UPCOMING ESTIMATES
Fiscal Date    Horizon                    Consensus
-------------  -------------------------  -----------
2027-09-30     next fiscal year           $11.34
2026-09-30     historical fiscal year     $11.18
2026-06-30     next fiscal quarter        $2.49
2026-03-31     historical fiscal quarter  $2.59
2025-12-31     historical fiscal quarter  $3.40

LONG-TERM CONTEXT (5 Years)
Fiscal Year End    Reported EPS    Change
-----------------  --------------  ---------------
2025-12-31         $3.50           -
2025-09-30         $12.03          +8.53 (+243.7%)
2024-09-30         $10.21          -1.82 (-15.1%)
2023-09-30         $8.41           -1.80 (-17.6%)
2022-09-30         $12.53          +4.12 (+49.0%)
